Timestamp,P&L,Position,Window,Specification,T_years,tau_months,ChnLen,StpPct,Equity,Drawdown
2024-12-18 12:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 12:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 12:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 12:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:00:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:05:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:15:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:20:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:35:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:40:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:50:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 13:55:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:00:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:05:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:10:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:15:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:20:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:25:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:30:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:35:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:40:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:45:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:50:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 14:55:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-18 15:00:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 09:05:00,-0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
2024-12-19 09:10:00,0.0,0,2,T6_tau3,6,3,1920,0.005,140644.4400000002,-5352.162500000006
